CUI,SNIP,NOMBRE DE LA INVERSIÓN,ESTADO DE LA INVERSIÓN,TIPO DE INVERSIÓN,UNIDAD EJECUTORA DE INVERSIONES (UEI),COSTO DE INVERSIÓN VIABLE / APROBADO,COSTO DE INVERSIÓN ACTUALIZADO,COSTO TOTAL DE LA INVERSIÓN ACTUALIZADO,¿TIENE EXPEDIENTE TÉCNICO O DOCUMENTO EQUIVALENTE?,AVANCE FINANCIERO ACUMULADO,DEVENGADO ACUMULADO AL 2024,¿SE ENCUENTRA PROGRAMADO EN EL PMI?,PIM 2024 EN AVANCE FINANCIERO,PIM 2024,PIM 2023,PIM 2022
2022202,2022202,CONSTRUCCION SEDE GERENCIA SUB REGIONAL CHOTA,ACTIVO,PROYECTO DE INVERSION,,"3,930,292.00","9,472,318.33","9,472,318.33",NO,98 %,"9,281,812.27",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2022722,2022722,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE QUILLABAMBA,ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE LA CONVENCION,"18,278,862.00","43,126,732.48","46,189,959.05",SI   ,30 %,"13,839,000.53",SI   ,"794,900.00","794,900.00","3,535,799.00","10,704,443.00"
2026619,2026619,CONSTRUCCION CARRETERA CHIMBAN - PION - SANTA ROSA,ACTIVO,PROYECTO DE INVERSION,GERENCIA REGIONAL DE INFRAESTRUCTURA,"3,056,803.00","8,934,558.3","8,934,558.3",SI   ,51.1 %,"4,561,281.21",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2026943,2026943,REPRESAMIENTO DE LA LAGUNA DE HUANCARCOCHA Y CONSTRUCCION DEL CANAL PRINCIPAL DE DERIVACION,ACTIVO,PROYECTO DE INVERSION,UEI DE LA DIRECCION REGIONAL DE AGRICULTURA DEL GOBIERNO REGIONAL LIMA,"7,749,702.00","18,753,251.56","18,753,251.56",SI   ,70.6 %,"13,242,482.16",SI   ,"323,352.00","323,352.00","1,798,268.00","3,520,182.00"
2031310,2031310,CONSTRUCCION Y MEJORAMIENTO DE LA CARRETERA SAN JOSE (EMP. R 100) VALLE GRANDE -ISILLUMA DEL DISTRITO DE ALTO INAMBARI,ACTIVO,PROYECTO DE INVERSION,UEI DE LA GOBIERNO REGIONAL PUNO,"5,997,030.00","14,880,887.11","14,880,887.11",SI   ,76.4 %,"11,364,302.18",SI   ,"750,768.00","750,768.00","3,755,821.00","2,654,537.00"
2034675,2034675,"CONSTRUCCION Y MEJORAMIENTO DEL SISTEMA DE RIEGO DE RUREK, DISTRITO DE OLLEROS - HUARAZ - ANCASH",ACTIVO,PROYECTO DE INVERSION,UEI DE LA GOBIERNO REGIONAL ANCASH,"9,997,018.00","25,781,518.85","25,781,518.85",SI   ,65.5 %,"16,884,438.2",NO,0.00,No info. disponible,No info. disponible,"5,827,369.00"
2040186,2040186,MEJORAMIENTO DE RIEGO Y GENERACION HIDROENERGETICO DEL ALTO PIURA,ACTIVO,PROYECTO DE INVERSION,PROYECTO ESPECIAL DE IRRIGACION E HIDROENERGETICO ALTO PIURA,0.00,"2,206,979,149.00","2,272,300,920.00",SI   ,23.9 %,"542,244,079.8",SI   ,"82,870,385.00","82,870,385.00","9,887.00","5,757,181.00"
2043362,2043362,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA Y SANEAMIENTO EN LA CIUDAD DE AYABACA, PROVINCIA DE AYABACA - PIURA",ACTIVO,PROYECTO DE INVERSION,UEIPI-GSRLCC,"6,876,193.00","67,602,093.6","67,962,991.08",SI   ,52.4 %,"35,604,677.07",SI   ,"15,411,901.00","15,411,901.00",No info. disponible,No info. disponible
2045225,2045225,"MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO POR EL SISTEMA CONDOMINIAL EN LOS CASERIOS DE LOMA SAAVEDRA Y POCITOS, DISTRITO DE AGUAS VERDES - ZARUMILLA - TUMBES",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE AGUAS VERDES,"1,591,610.00","3,388,943.88","3,388,943.88",SI   ,96.2 %,"3,258,553.83",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2045254,2045254,"MEJORAMIENTO, REHABILITACION DE CAMINOS VECINALES DE LA SUB ZONA 04 TRAMO MOROCCOLLO - CANGALLI - WENCASI, DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,"780,587.00","985,488.49","985,488.49",SI   ,27.1 %,"266,638.22",NO,0.00,No info. disponible,No info. disponible,No info. disponible
